x;Kingdom;Phylum;Class;Order;Family;Genus
ASV1013;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;NA
ASV1014;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leucobacter
ASV1015;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Pseudonocardia
ASV1016;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae_1;Bacillus
ASV1017;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter
ASV1018;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae_2;Ammoniphilus
ASV1019;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;NA
ASV1020;Bacteria;NA;NA;NA;NA;NA
ASV1021;Bacteria;Cyanobacteria/Chloroplast;Chloroplast;Chloroplast;Streptophyta;NA
ASV1022;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermacoccaceae;Dermacoccus
ASV1023;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leucobacter
ASV1024;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus
ASV1025;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia
ASV1026;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
ASV1027;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus
ASV1028;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_Incertae_Sedis_XVIII;Symbiobacterium
ASV1029;Bacteria;Cyanobacteria/Chloroplast;Chloroplast;Chloroplast;Streptophyta;NA
ASV1030;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Zhihengliuella
ASV1031;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Curtobacterium
ASV1032;Bacteria;Cyanobacteria/Chloroplast;Chloroplast;Chloroplast;Streptophyta;NA
ASV1033;Bacteria;NA;NA;NA;NA;NA
ASV1034;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;NA;NA
ASV1035;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter
ASV1036;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus
ASV1037;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium
ASV1038;Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;Spiroplasmataceae;Spiroplasma
ASV1039;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium
ASV1040;Bacteria;Cyanobacteria/Chloroplast;Chloroplast;Chloroplast;Chlorophyta;NA
ASV1041;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium
ASV1042;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia
ASV1043;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
ASV1044;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae_1;Bacillus
ASV1045;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium
ASV1046;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga
ASV1047;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planomicrobium
ASV1048;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas
ASV1049;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas
ASV1050;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae_1;Paenibacillus
ASV1051;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter
ASV1052;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium
ASV1053;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus
ASV1054;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Luteimonas
ASV1055;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
ASV1056;Bacteria;Cyanobacteria/Chloroplast;Chloroplast;Chloroplast;Chlorophyta;NA
ASV1057;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae_1;Bacillus
ASV1058;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia
ASV1059;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_incertae_sedis;Phocaeicola
ASV1060;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter
ASV1061;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA
ASV1062;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Chitinophaga
ASV1063;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;NA;NA
ASV1064;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas
ASV1065;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia
ASV1066;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae_1;Anoxybacillus
ASV1067;Bacteria;SR1;NA;NA;NA;NA
ASV1068;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;NA
ASV1069;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_Incertae_Sedis_XI;Anaerococcus
ASV1070;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Curtobacterium
ASV1071;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus
ASV1072;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus
ASV1073;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
ASV1074;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium
